               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10115,            0.025979,                   0,           0.0064376,             0.12821,           0.0042721,          0.00072451,            0.079963,            0.018989,                   0,            0.070152,           0.0033164,           0.0033164
                   1,              0.0817,            0.020166,                   0,           0.0030769,             0.92308,            0.096445,            0.029273,            0.088569,              0.0123,                   0,             0.04007,           0.0065675,           0.0065675
                   2,            0.076115,             0.01744,                   0,           0.0032479,             0.97436,             0.17794,            0.053427,            0.066587,            0.013547,                   0,           0.0099052,            0.009736,            0.009736
                   3,            0.070679,            0.016176,                   0,            0.028912,             0.87179,             0.46613,             0.17179,            0.059647,            0.012408,                   0,           0.0096288,           0.0096288,           0.0096288
                   4,            0.059296,             0.01722,                   0,               0.406,              0.7265,             0.64194,             0.21045,             0.04727,            0.012255,                   0,           0.0096288,           0.0096288,           0.0096288
                   5,            0.052172,            0.016766,                   0,             0.52871,             0.52738,             0.53698,             0.14636,            0.056065,           0.0098847,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.052949,            0.014957,                   0,              0.7564,              0.7094,             0.76944,             0.33749,            0.042437,           0.0096309,                   0,           0.0093813,           0.0093813,           0.0093813
                   7,            0.048992,            0.014684,                   0,             0.73727,             0.70085,             0.76429,              0.3091,            0.047325,           0.0082348,                   0,           0.0092575,           0.0092575,           0.0092575
                   8,            0.048265,              0.0128,                   0,             0.56943,             0.61538,             0.58179,             0.16946,            0.053827,           0.0073169,                   0,           0.0091337,           0.0091337,           0.0091337
                   9,            0.047976,            0.012871,                   0,              0.7266,             0.88889,             0.85481,             0.42303,            0.036524,           0.0074975,                   0,             0.00901,             0.00901,             0.00901
                  10,            0.042673,            0.011745,                   0,             0.73464,             0.92308,             0.85096,             0.48105,            0.035681,           0.0068943,                   0,           0.0088863,           0.0088863,           0.0088863
                  11,            0.043391,            0.010262,                   0,             0.86755,             0.89571,             0.92439,             0.54684,            0.032359,           0.0065869,                   0,           0.0087625,           0.0087625,           0.0087625
                  12,            0.041214,           0.0099586,                   0,             0.81649,             0.95072,             0.93854,             0.50199,            0.033228,           0.0064194,                   0,           0.0086388,           0.0086388,           0.0086388
                  13,            0.039056,                0.01,                   0,             0.83248,             0.90598,             0.91544,             0.48162,            0.034109,           0.0061953,                   0,            0.008515,            0.008515,            0.008515
                  14,            0.038928,           0.0098253,                   0,             0.85743,             0.92522,             0.93476,             0.51663,            0.033394,           0.0058834,                   0,           0.0083913,           0.0083913,           0.0083913
                  15,            0.038997,           0.0098544,                   0,             0.80365,             0.88889,             0.86889,             0.35876,            0.037939,           0.0060177,                   0,           0.0082675,           0.0082675,           0.0082675
                  16,            0.036214,           0.0094586,                   0,             0.87531,             0.94872,             0.94183,             0.52721,            0.031238,           0.0058507,                   0,           0.0081437,           0.0081437,           0.0081437
                  17,            0.034983,           0.0087615,                   0,             0.79549,             0.88034,             0.88034,             0.35123,            0.042837,           0.0056784,                   0,             0.00802,             0.00802,             0.00802
                  18,            0.035903,           0.0089719,                   0,             0.85728,             0.91453,             0.92675,             0.59238,            0.029608,           0.0054687,                   0,           0.0078963,           0.0078963,           0.0078963
                  19,            0.035848,           0.0087162,                   0,             0.86934,             0.93162,             0.93961,              0.5863,            0.028961,           0.0056213,                   0,           0.0077725,           0.0077725,           0.0077725
                  20,            0.032968,           0.0089636,                   0,              0.8419,             0.95726,             0.93939,             0.55725,            0.030648,           0.0055842,                   0,           0.0076488,           0.0076488,           0.0076488
                  21,            0.033576,           0.0086625,                   0,             0.86457,             0.91453,             0.93567,             0.58597,            0.028184,           0.0054174,                   0,            0.007525,            0.007525,            0.007525
                  22,             0.03396,           0.0091107,                   0,             0.87946,             0.97436,             0.95442,             0.58354,            0.027776,           0.0054045,                   0,           0.0074013,           0.0074013,           0.0074013
